user_id,age,gender,region,subscription,device_type,nb_devices_used,time_on_platform,nb_sessions,avg_session_duration,premium_months,nb_friends,nb_groups,nb_pages_followed,nb_events_participated,nb_searches,nb_notifications_opened,nb_saved_posts,nb_reports,nb_blocked_users,photos_posted,videos_posted,stories_posted,travels_shared,countries_visited,likes,shares,comments_written,reactions_given,reactions_received,messages_sent,messages_received,ads_clicked,video_views,engagement_score,churn_risk,satisfaction,geo_lat,geo_lon
22.0,41.0,H,ASIE,FREE,MOBILE,2.0,5.0,36.0,2.946732033191444,0.0,146.0,4.0,18.0,3.0,50.0,79.0,9.0,0.0,0.0,17.0,3.0,13.0,4.0,3.0,260.0,5.0,11.0,107.0,123.0,31.0,44.0,7.0,382.0,101.89,0.5378157924750318,1.0,11.85164341213853,89.65385187109575
24.0,44.0,F,EUROPE,FREE,MOBILE,3.0,38.0,30.0,7.355152646776484,0.0,150.0,3.0,18.0,3.0,52.0,84.0,9.0,0.0,0.0,16.0,8.0,7.0,2.0,17.0,202.0,4.0,14.0,98.0,123.0,41.0,51.0,16.0,150.0,90.63,0.4740149628305667,1.0,11.65423698008016,91.29198364206174
25.0,64.0,F,ASIE,PREMIUM,MOBILE,3.0,53.0,22.0,5.635217933782473,7.0,163.0,10.0,21.0,0.0,63.0,93.0,8.0,0.0,1.0,26.0,2.0,12.0,2.0,2.0,330.0,7.0,12.0,93.0,115.0,52.0,63.0,15.0,1018.0,114.33,0.0988190941669288,4.0,11.63487663757078,93.99228171634608
30.0,43.0,AUTRE,EUROPE,PREMIUM,DESKTOP,2.0,5.0,23.0,3.12708137732708,33.0,147.0,5.0,27.0,1.0,59.0,89.0,15.0,1.0,0.0,25.0,7.0,10.0,5.0,5.0,298.0,8.0,17.0,114.0,133.0,32.0,35.0,10.0,330.0,115.71,0.6972191449402849,4.0,11.18560429159511,94.79416441384922
31.0,42.0,H,AFRIQUE,FREE,DESKTOP,2.0,11.0,34.0,4.656807993382935,0.0,153.0,3.0,18.0,1.0,46.0,70.0,13.0,1.0,0.0,23.0,2.0,12.0,3.0,16.0,280.0,4.0,14.0,89.0,116.0,42.0,49.0,11.0,226.0,104.56,0.6542542018738383,5.0,11.23851830924689,97.22880392792143
32.0,50.0,F,EUROPE,FREE,DESKTOP,1.0,22.0,33.0,6.028508238634021,0.0,150.0,1.0,14.0,2.0,50.0,78.0,7.0,0.0,0.0,7.0,4.0,6.0,3.0,12.0,142.0,1.0,26.0,112.0,130.0,31.0,42.0,14.0,531.0,84.25999999999999,0.8871699749620097,5.0,11.23012887144972,91.94195746039564
35.0,21.0,F,ASIE,FREE,MOBILE,2.0,10.0,28.0,8.717762282485598,0.0,153.0,2.0,22.0,2.0,53.0,74.0,11.0,0.0,0.0,21.0,8.0,8.0,2.0,15.0,268.0,9.0,12.0,109.0,126.0,46.0,60.0,11.0,60.0,105.36,0.7641267733756654,1.0,12.11542618789609,98.06422178372914
37.0,33.0,AUTRE,EUROPE,PREMIUM,TABLET,3.0,12.0,26.0,5.183251450650689,7.0,163.0,6.0,15.0,2.0,39.0,83.0,11.0,1.0,0.0,18.0,5.0,10.0,3.0,17.0,220.0,0.0,12.0,110.0,122.0,48.0,57.0,11.0,463.0,93.68,0.4574289588851034,4.0,11.49101283921811,93.5046423901084
38.0,57.0,F,EUROPE,FREE,TABLET,3.0,21.0,23.0,4.788502990832562,0.0,153.0,7.0,18.0,2.0,55.0,73.0,0.0,1.0,0.0,12.0,8.0,14.0,4.0,13.0,187.0,5.0,18.0,97.0,121.0,43.0,61.0,16.0,849.0,88.23999999999998,0.4393724161618824,1.0,11.54102506858403,88.60373236904263
43.0,64.0,H,EUROPE,FREE,MOBILE,3.0,24.0,32.0,5.080465893496621,0.0,161.0,5.0,17.0,3.0,45.0,91.0,80.0,0.0,1.0,16.0,4.0,11.0,4.0,7.0,196.0,7.0,23.0,103.0,1260.0,50.0,61.0,16.0,831.0,93.78,0.3080277900236229,2.0,11.08953969559346,92.78539462605856
45.0,28.0,H,EUROPE,PREMIUM,TABLET,3.0,75.0,45.0,5.579174173889027,9.0,161.0,3.0,27.0,4.0,47.0,66.0,10.0,0.0,0.0,16.0,4.0,6.0,3.0,15.0,206.0,3.0,37.0,116.0,137.0,44.0,53.0,21.0,0.0,104.09,0.3137497657865471,4.0,10.5614597787425,90.7254841017837
46.0,27.0,H,EUROPE,FREE,DESKTOP,3.0,118.0,28.0,7.531657892247448,0.0,148.0,4.0,22.0,0.0,52.0,95.0,12.0,0.0,0.0,13.0,7.0,8.0,3.0,4.0,152.0,4.0,18.0,99.0,114.0,33.0,37.0,20.0,78.0,78.34,0.7451814318529549,1.0,11.10403953123501,98.21251288251922
48.0,20.0,H,EUROPE,FREE,MOBILE,2.0,36.0,29.0,5.208516523244372,0.0,148.0,1.0,16.0,2.0,50.0,77.0,10.0,0.0,0.0,17.0,2.0,6.0,3.0,1.0,207.0,9.0,21.0,104.0,127.0,38.0,48.0,16.0,123.0,95.96,0.3287113657307011,3.0,11.55786383238223,95.4686337781787
49.0,21.0,AUTRE,ASIE,PREMIUM,DESKTOP,2.0,19.0,31.0,5.036445374698268,3.0,165.0,3.0,21.0,2.0,42.0,82.0,11.0,0.0,0.0,15.0,4.0,0.0,7.0,16.0,231.0,0.0,16.0,85.0,105.0,33.0,48.0,14.0,0.0,90.7,0.0501048662992151,4.0,10.22331295667111,90.52912833147754
50.0,22.0,AUTRE,ASIE,FREE,DESKTOP,3.0,13.0,34.0,6.868274572243446,0.0,153.0,4.0,16.0,0.0,39.0,79.0,8.0,0.0,0.0,23.0,6.0,10.0,3.0,12.0,286.0,5.0,30.0,88.0,108.0,43.0,53.0,11.0,218.0,108.56,0.7011598371137047,4.0,11.4315561755489,93.5592344402576
55.0,49.0,AUTRE,ASIE,PREMIUM,DESKTOP,2.0,20.0,33.0,1.0,3.0,146.0,6.0,30.0,0.0,52.0,76.0,7.0,0.0,1.0,15.0,5.0,8.0,3.0,1.0,197.0,9.0,20.0,105.0,129.0,42.0,53.0,12.0,103.0,94.22,0.139740632888586,5.0,10.8288686826588,95.98976222897042
57.0,24.0,AUTRE,EUROPE,FREE,MOBILE,2.0,70.0,28.0,3.910324451424395,0.0,157.0,6.0,25.0,0.0,45.0,70.0,13.0,0.0,0.0,18.0,6.0,1.0,2.0,16.0,219.0,5.0,18.0,96.0,112.0,33.0,51.0,19.0,98.0,91.81,0.3024778290976206,4.0,9.917792128930266,96.1075002789445
58.0,64.0,F,AFRIQUE,FREE,TABLET,1.0,79.0,23.0,1.26699694151663,0.0,148.0,4.0,20.0,3.0,52.0,95.0,11.0,0.0,0.0,16.0,3.0,7.0,5.0,12.0,211.0,7.0,13.0,93.0,121.0,38.0,50.0,19.0,978.0,91.78,0.8626741492056548,2.0,11.60019009350588,97.49396818990212
59.0,31.0,AUTRE,EUROPE,PREMIUM,TABLET,3.0,19.0,32.0,1.925038852890018,21.0,155.0,5.0,19.0,2.0,52.0,75.0,7.0,0.0,1.0,16.0,5.0,16.0,6.0,6.0,216.0,6.0,10.0,100.0,121.0,38.0,49.0,13.0,131.0,91.71,0.3390939680727559,5.0,10.9009228656143,94.22076174620314
60.0,23.0,AUTRE,EUROPE,PREMIUM,DESKTOP,1.0,16.0,24.0,5.086247026890126,33.0,138.0,5.0,17.0,3.0,56.0,95.0,9.0,0.0,0.0,17.0,6.0,12.0,2.0,5.0,240.0,9.0,12.0,87.0,101.0,38.0,46.0,13.0,23.0,90.73,0.2841585171512709,3.0,10.013551924887,93.66925891864751
61.0,49.0,F,AMERIQUE,FREE,MOBILE,2.0,27.0,31.0,5.610894802401732,0.0,128.0,7.0,22.0,1.0,47.0,86.0,10.0,0.0,0.0,13.0,6.0,15.0,2.0,4.0,187.0,4.0,18.0,88.0,111.0,35.0,50.0,13.0,2870.0,84.63999999999999,0.5165753904996591,2.0,9.416039255406435,94.62704108065972
63.0,57.0,H,ASIE,FREE,MOBILE,1.0,26.0,37.0,2.807201933091426,0.0,154.0,3.0,22.0,5.0,47.0,76.0,13.0,0.0,0.0,23.0,5.0,9.0,2.0,6.0,293.0,9.0,23.0,94.0,112.0,45.0,60.0,16.0,508.0,109.45,0.0128371760107471,5.0,10.4049718768074,90.15066570168368
64.0,27.0,AUTRE,AFRIQUE,FREE,DESKTOP,2.0,113.0,30.0,4.047992237047334,0.0,147.0,5.0,18.0,2.0,41.0,89.0,8.0,0.0,0.0,22.0,8.0,9.0,5.0,10.0,278.0,7.0,14.0,134.0,151.0,42.0,49.0,21.0,0.0,116.69,0.2317778709569589,1.0,11.42894592075458,92.58789331342558
65.0,54.0,F,ASIE,FREE,MOBILE,2.0,161.0,31.0,5.800848580480992,0.0,163.0,2.0,19.0,3.0,56.0,75.0,9.0,0.0,0.0,17.0,6.0,10.0,2.0,11.0,232.0,9.0,22.0,88.0,107.0,27.0,34.0,21.0,498.0,94.55,0.3660025859227681,1.0,10.15649598934997,95.19954635745574
67.0,43.0,H,EUROPE,PREMIUM,MOBILE,1.0,10.0,38.0,4.788402939798838,5.0,152.0,4.0,18.0,1.0,39.0,67.0,8.0,0.0,0.0,17.0,7.0,11.0,2.0,2.0,227.0,2.0,27.0,97.0,120.0,30.0,38.0,12.0,299.0,99.05,0.2028661415353706,1.0,9.662042254426623,98.55487604913772
68.0,47.0,AUTRE,AFRIQUE,PREMIUM,MOBILE,2.0,221.0,32.0,2.185342325328828,25.0,163.0,4.0,12.0,4.0,54.0,84.0,9.0,0.0,0.0,25.0,2.0,10.0,2.0,8.0,293.0,4.0,20.0,112.0,139.0,38.0,46.0,23.0,588.0,117.38,0.2229632603522254,4.0,9.438070980082273,98.67001214782324
72.0,58.0,H,AFRIQUE,FREE,MOBILE,3.0,186.0,33.0,7.127080146112498,0.0,159.0,3.0,17.0,6.0,42.0,87.0,11.0,1.0,0.0,26.0,5.0,9.0,1.0,8.0,322.0,3.0,27.0,96.0,117.0,1.0,50.0,23.0,816.0,118.05,0.934140643602996,2.0,10.62743489067036,96.37272907383289
85.0,37.0,H,AMERIQUE,FREE,DESKTOP,3.0,59.0,33.0,7.579481030049094,0.0,164.0,4.0,20.0,2.0,48.0,72.0,14.0,0.0,0.0,20.0,5.0,130.0,1.0,19.0,263.0,5.0,21.0,82.0,112.0,47.0,55.0,18.0,332.0,102.07,0.3700308094011014,4.0,9.670264749129403,93.50336254058756
0.0,47.0,F,EUROPE,FREE,DESKTOP,3.0,23.0,30.0,5.880497840688801,0.0,136.0,9.0,17.0,3.0,51.0,94.0,14.0,0.0,0.0,14.0,11.0,11.0,0.0,11.0,179.0,6.0,19.0,91.0,105.0,43.0,51.0,12.0,296.0,81.4,0.4744160007519296,5.0,9.877311175437493,91.76242161971533
88.0,41.0,F,EUROPE,FREE,DESKTOP,3.0,1.0,30.0,6.434816309310957,0.0,142.0,9.0,27.0,2.0,58.0,75.0,7.0,0.0,0.0,20.0,7.0,7.0,6.0,5.0,269.0,4.0,31.0,100.0,119.0,40.0,50.0,0.0,364.0,109.08,0.1355401284996762,3.0,8.9156043179828,90.8603131572983
89.0,55.0,H,EUROPE,FREE,DESKTOP,3.0,150.0,25.0,5.030350031839607,0.0,187.0,4.0,18.0,0.0,51.0,63.0,11.0,0.0,1.0,21.0,5.0,6.0,3.0,3.0,274.0,8.0,13.0,94.0,119.0,39.0,55.0,21.0,665.0,104.41,0.0,2.0,10.7602858824376,93.76260674508023
92.0,45.0,H,ASIE,FREE,MOBILE,2.0,22.0,29.0,5.090839671214032,0.0,142.0,5.0,12.0,3.0,55.0,71.0,9.0,0.0,0.0,20.0,5.0,8.0,6.0,0.0,288.0,4.0,11.0,92.0,125.0,40.0,44.0,14.0,275.0,108.37,0.6512616130333612,1.0,9.73630001057275,94.49214932801029
93.0,42.0,H,AMERIQUE,FREE,MOBILE,1.0,62.0,26.0,7.581973122426243,0.0,169.0,4.0,27.0,1.0,46.0,85.0,5.0,0.0,0.0,17.0,4.0,9.0,2.0,8.0,194.0,5.0,17.0,94.0,114.0,40.0,51.0,19.0,608.0,86.92,0.0973956554275535,4.0,10.00661179464662,97.3016632087208
95.0,43.0,H,AFRIQUE,FREE,TABLET,2.0,36.0,25.0,5.659345684903399,0.0,167.0,8.0,17.0,2.0,45.0,86.0,15.0,0.0,0.0,17.0,2.0,14.0,0.0,15.0,207.0,1.0,19.0,111.0,124.0,45.0,56.0,15.0,328.0,93.43,0.4115132770083326,4.0,9.640416918591526,97.54807521221927
99.0,60.0,F,AMERIQUE,FREE,DESKTOP,3.0,103.0,33.0,4.473123177640603,0.0,168.0,8.0,24.0,2.0,47.0,84.0,7.0,0.0,0.0,23.0,4.0,13.0,6.0,0.0,299.0,6.0,22.0,99.0,116.0,42.0,55.0,20.0,580.0,111.47,0.171099432072377,2.0,9.452944370487696,92.5835655796498
103.0,48.0,AUTRE,AFRIQUE,PREMIUM,MOBILE,1.0,102.0,28.0,6.080839451659624,6.0,136.0,2.0,160.0,1.0,49.0,84.0,7.0,1.0,0.0,17.0,11.0,12.0,5.0,18.0,193.0,8.0,14.0,79.0,97.0,40.0,48.0,18.0,366.0,80.03999999999999,0.0197835902096095,0.0,8.532243225805233,97.40265322090367
104.0,27.0,AUTRE,AFRIQUE,FREE,MOBILE,3.0,15.0,38.0,5.774444480058281,0.0,154.0,3.0,19.0,3.0,42.0,87.0,8.0,0.0,0.0,21.0,4.0,7.0,2.0,17.0,290.0,6.0,29.0,87.0,106.0,43.0,52.0,14.0,92.0,108.46,0.0035358577630278,4.0,9.531431440073634,95.9308218474921
106.0,43.0,F,UNDEFINED,FREE,TABLET,3.0,24.0,40.0,4.733267603356452,0.0,148.0,4.0,21.0,2.0,56.0,82.0,9.0,0.0,0.0,28.0,3.0,14.0,3.0,1.0,363.0,1.0,26.0,114.0,132.0,54.0,66.0,15.0,335.0,131.37,0.4325135591357632,1.0,9.629081672772234,88.01414104349664
107.0,29.0,AUTRE,EUROPE,FREE,MOBILE,1.0,85.0,39.0,5.562217661390715,0.0,156.0,1.0,12.0,0.0,52.0,79.0,11.0,0.0,1.0,17.0,3.0,8.0,0.0,12.0,222.0,7.0,25.0,106.0,127.0,0.0,43.0,17.0,40.0,100.27,0.4900326232814932,1.0,8.823811729429115,95.58829629285144
111.0,63.0,F,AFRIQUE,PREMIUM,DESKTOP,2.0,35.0,34.0,6.246151404917656,21.0,144.0,5.0,17.0,1.0,45.0,81.0,5.0,0.0,0.0,23.0,3.0,8.0,0.0,13.0,273.0,5.0,16.0,88.0,105.0,40.0,49.0,14.0,724.0,100.02,0.2727016517871205,2.0,8.25846165833592,94.6955522747276
114.0,27.0,F,EUROPE,PREMIUM,DESKTOP,1.0,37.0,26.0,4.624559654117544,4.0,162.0,5.0,18.0,3.0,44.0,76.0,12.0,1.0,0.0,19.0,3.0,11.0,2.0,1.0,277.0,5.0,23.0,101.0,114.0,41.0,53.0,15.0,38.0,106.39,0.8342451439861248,3.0,8.680459874073762,94.76330951600154
117.0,63.0,F,AFRIQUE,FREE,MOBILE,1.0,61.0,20.0,4.202208121442008,0.0,151.0,4.0,24.0,4.0,42.0,87.0,8.0,0.0,0.0,20.0,5.0,13.0,1.0,16.0,302.0,4.0,14.0,76.0,105.0,31.0,41.0,17.0,670.0,105.33,0.4219717233437017,5.0,8.521052634795751,97.84951046534592
119.0,23.0,F,EUROPE,PREMIUM,TABLET,3.0,4.0,25.0,3.19207209014421,3.0,149.0,5.0,17.0,3.0,28.0,68.0,3.0,0.0,0.0,17.0,4.0,9.0,2.0,1.0,260.0,6.0,12.0,105.0,125.0,43.0,50.0,6.0,0.0,103.03,0.5030612064910148,3.0,8.687787648772208,92.38746390439684
124.0,31.0,F,AFRIQUE,PREMIUM,DESKTOP,1.0,20.0,27.0,6.295494316735086,34.0,154.0,4.0,18.0,2.0,53.0,94.0,5.0,0.0,0.0,20.0,3.0,17.0,3.0,17.0,274.0,2.0,12.0,90.0,109.0,45.0,56.0,14.0,0.0,99.97,0.5644131170691185,5.0,8.786613642936125,95.30276079194304
125.0,38.0,F,AFRIQUE,FREE,MOBILE,3.0,8.0,28.0,5.853843625569588,0.0,166.0,5.0,24.0,1.0,64.0,83.0,1.0,0.0,1.0,26.0,4.0,7.0,6.0,140.0,320.0,4.0,17.0,104.0,126.0,32.0,37.0,9.0,242.0,117.48,0.5071004964102627,5.0,8.018982850297029,95.1311021262787
127.0,62.0,H,EUROPE,PREMIUM,MOBILE,1.0,1.0,27.0,4.554534612882125,29.0,158.0,9.0,20.0,0.0,59.0,78.0,16.0,0.0,0.0,17.0,0.0,8.0,2.0,16.0,193.0,6.0,15.0,98.0,114.0,35.0,45.0,3.0,852.0,86.13,0.2236376406437021,5.0,8.401341123614314,86.48690659607982
128.0,61.0,F,EUROPE,FREE,DESKTOP,3.0,67.0,31.0,3.315720751127599,0.0,155.0,7.0,16.0,4.0,48.0,68.0,7.0,0.0,0.0,15.0,4.0,9.0,4.0,8.0,192.0,7.0,19.0,104.0,119.0,29.0,40.0,19.0,831.0,89.13,0.2322769958188229,2.0,8.025699400597295,96.79254500049802
134.0,44.0,AUTRE,AMERIQUE,FREE,TABLET,2.0,65.0,30.0,5.938806086683881,0.0,154.0,5.0,28.0,3.0,48.0,86.0,8.0,0.0,1.0,11.0,5.0,12.0,2.0,3.0,149.0,3.0,22.0,95.0,116.0,39.0,58.0,19.0,108.0,79.66999999999999,0.0635221105244565,1.0,7.913106856629835,81.54593480484793
135.0,30.0,H,EUROPE,PREMIUM,TABLET,3.0,154.0,30.0,5.911938515256305,6.0,165.0,0.0,19.0,1.0,53.0,79.0,9.0,0.0,0.0,22.0,4.0,12.0,3.0,19.0,322.0,3.0,34.0,124.0,142.0,45.0,57.0,22.0,164.0,129.18,0.8084691052043419,0.0,9.126544037427324,89.22993474915361
138.0,34.0,AUTRE,EUROPE,FREE,TABLET,2.0,22.0,23.0,5.610100135077074,0.0,155.0,9.0,22.0,1.0,51.0,85.0,7.0,0.0,1.0,13.0,4.0,13.0,5.0,4.0,165.0,5.0,19.0,100.0,120.0,43.0,54.0,14.0,166.0,83.61,0.3229284204813173,3.0,7.564561138928546,92.88276810807534
139.0,27.0,AUTRE,AMERIQUE,FREE,TABLET,2.0,20.0,40.0,4.47292661979445,0.0,167.0,10.0,210.0,0.0,49.0,89.0,8.0,1.0,1.0,33.0,3.0,12.0,5.0,12.0,376.0,4.0,28.0,102.0,127.0,45.0,52.0,11.0,123.0,133.33,0.1403786002377604,5.0,7.660120553536348,89.90320476589947
140.0,63.0,H,AMERIQUE,FREE,TABLET,2.0,1.0,29.0,6.179329168777393,0.0,162.0,6.0,22.0,3.0,50.0,94.0,9.0,1.0,0.0,17.0,6.0,11.0,5.0,4.0,213.0,4.0,20.0,93.0,105.0,37.0,48.0,4.0,938.0,88.68,0.0676489506682918,3.0,8.107722136467697,87.54639685895077
141.0,48.0,H,EUROPE,FREE,DESKTOP,2.0,28.0,24.0,2.107670355541693,0.0,170.0,9.0,22.0,3.0,54.0,99.0,9.0,0.0,0.0,23.0,2.0,18.0,3.0,8.0,312.0,4.0,12.0,96.0,118.0,38.0,44.0,16.0,407.0,111.3,0.8825077452037297,5.0,7.789673276692925,89.94924472454188
145.0,23.0,F,AMERIQUE,FREE,MOBILE,2.0,4.0,28.0,5.117732474338283,0.0,155.0,6.0,19.0,1.0,37.0,80.0,13.0,0.0,0.0,22.0,4.0,13.0,5.0,11.0,272.0,4.0,19.0,103.0,120.0,46.0,54.0,7.0,106.0,105.98,0.0279520687626759,3.0,7.767801285520934,1.0
146.0,37.0,AUTRE,EUROPE,FREE,TABLET,1.0,9.0,29.0,4.23422700578754,0.0,147.0,0.0,19.0,1.0,52.0,76.0,6.0,0.0,0.0,19.0,4.0,10.0,5.0,10.0,222.0,5.0,18.0,95.0,113.0,44.0,55.0,10.0,152.0,92.79,0.1784464079225797,1.0,8.380528271347265,90.9772972741596
147.0,29.0,AUTRE,AMERIQUE,FREE,DESKTOP,2.0,37.0,38.0,8.054264175919602,0.0,163.0,3.0,17.0,0.0,45.0,77.0,10.0,0.0,0.0,6.0,5.0,16.0,0.0,18.0,77.0,6.0,22.0,98.0,114.0,30.0,37.0,15.0,50.0,64.15,0.1800966476913847,1.0,8.312070536174204,86.6062270434936
152.0,38.0,AUTRE,AMERIQUE,FREE,TABLET,1.0,2.0,23.0,4.796966171694923,0.0,150.0,3.0,17.0,3.0,51.0,70.0,10.0,0.0,0.0,22.0,6.0,9.0,3.0,0.0,289.0,7.0,3.0,105.0,124.0,31.0,36.0,6.0,129.0,105.81,0.0779775256242145,2.0,8.81267965794154,91.59863076531217
153.0,41.0,AUTRE,EUROPE,FREE,DESKTOP,3.0,83.0,33.0,4.926194307575765,0.0,158.0,1.0,21.0,1.0,40.0,72.0,11.0,0.0,1.0,25.0,2.0,7.0,2.0,12.0,319.0,6.0,13.0,92.0,114.0,31.0,40.0,20.0,414.0,111.91,0.9404033896395672,3.0,7.952198345334315,93.15231806515698
155.0,35.0,AUTRE,AFRIQUE,FREE,MOBILE,3.0,96.0,36.0,4.136767294365335,0.0,137.0,3.0,20.0,2.0,48.0,69.0,14.0,0.0,0.0,22.0,6.0,15.0,1.0,10.0,259.0,4.0,30.0,88.0,107.0,39.0,47.0,20.0,159.0,102.44,0.3929909273970056,2.0,6.892523591170692,87.63588135782305
158.0,25.0,H,EUROPE,FREE,MOBILE,1.0,10.0,26.0,5.759242369550801,0.0,152.0,4.0,19.0,3.0,45.0,93.0,8.0,1.0,0.0,18.0,4.0,16.0,2.0,18.0,233.0,4.0,19.0,107.0,121.0,41.0,55.0,10.0,182.0,98.14,0.5108822868304367,4.0,7.712846756458736,89.57512569020409
160.0,40.0,F,AFRIQUE,FREE,DESKTOP,1.0,24.0,30.0,2.220398481605836,0.0,141.0,4.0,15.0,4.0,53.0,89.0,10.0,0.0,0.0,20.0,7.0,6.0,2.0,5.0,253.0,3.0,28.0,100.0,119.0,37.0,41.0,13.0,265.0,104.6,0.0320282415415411,2.0,7.930479817642817,89.87452798338255
164.0,57.0,H,ASIE,FREE,DESKTOP,2.0,48.0,32.0,5.231067335004953,0.0,158.0,4.0,25.0,6.0,51.0,88.0,11.0,0.0,1.0,22.0,8.0,15.0,1.0,2.0,271.0,4.0,17.0,109.0,131.0,44.0,51.0,16.0,748.0,108.94,0.2203492660325223,4.0,7.495350507083804,90.95769701394518
165.0,48.0,AUTRE,AMERIQUE,FREE,TABLET,3.0,25.0,34.0,6.54595697866923,0.0,154.0,3.0,17.0,1.0,43.0,93.0,8.0,0.0,0.0,15.0,3.0,9.0,6.0,11.0,185.0,4.0,23.0,100.0,120.0,33.0,38.0,15.0,370.0,89.07,0.7032378805943034,4.0,7.418831277891668,93.3147534879994
167.0,57.0,AUTRE,ASIE,FREE,DESKTOP,2.0,75.0,31.0,6.514235158411555,0.0,126.0,5.0,23.0,0.0,56.0,85.0,6.0,0.0,0.0,21.0,6.0,7.0,3.0,15.0,245.0,7.0,21.0,92.0,115.0,50.0,62.0,20.0,789.0,99.54,0.557084987530568,4.0,7.714329691801111,83.57352554615215
169.0,25.0,H,AFRIQUE,PREMIUM,DESKTOP,2.0,75.0,43.0,4.597518480741266,13.0,166.0,3.0,31.0,5.0,64.0,89.0,8.0,0.0,0.0,17.0,5.0,6.0,2.0,10.0,253.0,10.0,26.0,94.0,119.0,35.0,44.0,19.0,0.0,104.62,0.7448089128789019,1.0,7.642568089141209,84.53299406909383
170.0,58.0,H,AFRIQUE,FREE,MOBILE,3.0,144.0,38.0,4.213449176799658,0.0,166.0,9.0,20.0,1.0,35.0,91.0,10.0,0.0,0.0,21.0,10.0,10.0,3.0,9.0,269.0,1.0,26.0,108.0,128.0,41.0,51.0,21.0,614.0,110.23,0.5618686807658545,3.0,7.335281517851683,79.7445389620301
